"","name_id","1500","5000","MILE","800","8k","8K (XC)"
"218","Philip_Keith.html","4:23.50","15:21.76","4:46.96","2:12.58",NA,"25:52.2"
"219","Alexander_Kermath.html","4:00.04","14:59.82","4:19.09","1:59.36",NA,"24:51.3"
"220","Alex_Lara.html","4:10.70",NA,"4:42.47","2:02.20",NA,"26:27.8"
"221","Bruce_Lenes.html","3:57.20","15:34.02","4:17.44","1:58.80",NA,"26:03.4"
"222","George_Lepska.html","3:57.19",NA,"4:21.41","1:51.22",NA,"26:20.0"
"223","Coleman_Love.html","4:12.18","15:55.14","4:37.21","2:09.48",NA,"26:55.6"
"224","Noah_Mahoney.html","4:10.09","14:48.63","4:25.35","2:08.06",NA,"24:57.2"
"225","Ben_McKinney.html","4:14.46","16:07.51","4:25.99","2:04.64",NA,"26:18.5"
"226","Jude_Mourad.html","4:14.07","16:27.85","4:41.19","2:04.39",NA,"28:25.7"
"227","Evan_O'Rourke.html","4:19.70","16:12.28","4:43.35",NA,NA,"27:02.7"
"228","David__Rochon.html","4:28.59","16:11.54","4:42.79",NA,NA,NA
"229","Ben__Taffet.html","4:15.57",NA,"4:38.87","1:57.22",NA,"28:51.3"
"230","Will_Wise.html","4:09.81","15:07.86","4:24.32","2:02.95",NA,"25:28.0"
"231","Aidan_Ward.html",NA,NA,NA,NA,NA,"26:08.7"
"232","Easy_Weissman.html",NA,NA,NA,NA,NA,"26:47.2"
"233","Henry_Alexander.html","4:11.88","15:01.71",NA,"2:01.81",NA,"26:02.8"
"234","Avery_Allen.html","4:07.39","15:09.65",NA,"2:04.11",NA,"25:44.6"
"235","Rex_Bedwick.html","4:21.68","15:45.55",NA,NA,NA,"28:20.2"
"236","Blake_Biever.html","4:07.10","16:18.18","4:46.45","2:02.87",NA,"27:03.1"
"237","Victor_Cazabal.html","4:07.65","16:28.84","4:35.51","2:08.00",NA,"25:59.6"
"238","Leo_Cooper.html",NA,NA,"4:27.42","1:54.82",NA,"28:36.5"
"239","Duncan_DeProfio.html","4:18.90","15:48.42","4:42.52",NA,NA,"26:39.8"
"240","Charles_Dybala.html","4:09.82",NA,NA,"1:53.69",NA,"28:07.8"
"241","Tom_Emery.html","3:50.19",NA,"4:17.51","1:54.74",NA,"26:47.9"
"242","Ryan_Hardiman.html",NA,NA,NA,"1:58.71",NA,"24:46.0"
"243","Keiyu_Mamiya.html","3:51.54",NA,"4:20.35","1:55.41",NA,"25:06.8"
"244","Jackson_McFerron.html","4:18.35","16:00.94",NA,NA,NA,"28:12.4"
"245","Charles_Namiot.html","4:02.64","14:09.61","4:24.11","2:05.93",NA,"24:11.8"
"246","Emil_Nelson.html","3:55.13","14:32.51",NA,"2:00.28",NA,"26:07.2"
"247","Malcolm_Oakes.html","4:01.31","14:29.75",NA,"2:00.09",NA,"24:58.6"
"248","Henry_Reinke.html","4:09.78",NA,"4:39.23","1:54.48",NA,"28:02.7"
"249","Luke_Rostan.html","4:16.83",NA,"4:41.07",NA,NA,"27:37.6"
"250","Ethan_Striff-Cave.html","4:02.69","15:50.28","4:24.39","2:01.86",NA,"26:25.6"
"251","Grahm_Tuohy_Gaydos.html",NA,"14:00.81","4:17.81",NA,NA,"24:07.8"
"252","Eli_Welch.html","4:05.71","14:50.39",NA,NA,NA,"25:07.4"
"253","Rick_Yanashita.html","4:00.48","14:35.77","4:21.97","2:02.04",NA,"24:40.1"
"254","Nikhil_DeNatale.html",NA,NA,NA,NA,NA,"23:58.6"
"255","Alex_Kemp.html",NA,NA,NA,NA,NA,"24:55.4"
"256","Zach_Liu-Walter.html",NA,NA,NA,NA,NA,"26:49.8"
"257","Bradley_St._Laurent.html",NA,NA,NA,NA,NA,"25:45.0"
"258","Luke_Zanuck.html",NA,NA,NA,NA,NA,"25:09.6"
